#Beijing
r14---sn-2x3eln7d.gvt1.com	203.208.39.160
r15---sn-2x3eln7d.gvt1.com	203.208.39.161
r16---sn-2x3eln7d.gvt1.com	203.208.39.162
r17---sn-2x3eln7d.gvt1.com	203.208.39.163
r18---sn-2x3eln7d.gvt1.com	203.208.39.164

r1---sn-2x3eln7k.gvt1.com	203.208.51.208
r2---sn-2x3eln7k.gvt1.com	203.208.51.209
r3---sn-2x3eln7k.gvt1.com	203.208.51.210
r4---sn-2x3eln7k.gvt1.com	203.208.51.211
r5---sn-2x3eln7k.gvt1.com	203.208.51.212
r6---sn-2x3eln7k.gvt1.com	203.208.51.213
r7---sn-2x3eln7k.gvt1.com	203.208.51.214
r8---sn-2x3eln7k.gvt1.com	203.208.51.215

r1---sn-2x3eln7r.gvt1.com	203.208.33.16
r2---sn-2x3eln7r.gvt1.com	203.208.33.17
r3---sn-2x3eln7r.gvt1.com	203.208.33.18
r4---sn-2x3eln7r.gvt1.com	203.208.33.19
r5---sn-2x3eln7r.gvt1.com	203.208.33.20
r6---sn-2x3eln7r.gvt1.com	203.208.33.21
r7---sn-2x3eln7r.gvt1.com	203.208.33.22
r8---sn-2x3eln7r.gvt1.com	203.208.33.23

#Shanghai

r1---sn-ni57dn7e.gvt1.com	203.208.40.16
r2---sn-ni57dn7e.gvt1.com	203.208.40.17
r3---sn-ni57dn7e.gvt1.com	203.208.40.18
r4---sn-ni57dn7e.gvt1.com	203.208.40.19
r5---sn-ni57dn7e.gvt1.com	203.208.40.20
r6---sn-ni57dn7e.gvt1.com	203.208.40.21
r7---sn-ni57dn7e.gvt1.com	203.208.40.22
r8---sn-ni57dn7e.gvt1.com	203.208.40.23
r9---sn-ni57dn7e.gvt1.com	203.208.40.24
r10---sn-ni57dn7e.gvt1.com	203.208.40.25
r11---sn-ni57dn7e.gvt1.com	203.208.40.26
r12---sn-ni57dn7e.gvt1.com	203.208.40.27

r1---sn-ni57dn7s.gvt1.com	203.208.57.147
